Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,media views,media engagements,video views
1800000000000000001,https://x.com/you/status/1800000000000000001,"What is the one metric that actually moved for you this month? #buildinpublic",2026-08-05 09:00 +0000,5200,520,10.0,42,26,442,10,0,4,416,0,0,0
1800000000000000002,https://x.com/you/status/1800000000000000002,"3 tools I shipped this month, and the only number that mattered for each. #buildinpublic",2026-08-06 14:00 +0000,4800,528,11.0,42,26,449,11,0,5,384,0,0,0
1800000000000000003,https://x.com/you/status/1800000000000000003,"Why do great posts flop? I read 200 of them to find out. #writing",2026-08-12 09:00 +0000,6000,720,12.0,58,36,612,14,0,6,480,0,0,0
1800000000000000004,https://x.com/you/status/1800000000000000004,"7 days, 12 posts, one lesson: sharp beats frequent. #creators",2026-08-13 09:00 +0000,4500,405,9.0,32,20,344,8,0,4,360,0,0,0
1800000000000000005,https://x.com/you/status/1800000000000000005,"How did my account go from 0 to 5,000 in six weeks? Here is the boring answer. #growth",2026-08-05 14:00 +0000,5000,525,10.5,42,26,446,11,0,5,400,0,0,0
1800000000000000006,https://x.com/you/status/1800000000000000006,"What should you actually post next? Your own top posts already know. #buildinpublic",2026-08-06 09:00 +0000,4200,399,9.5,32,20,339,8,0,4,336,0,0,0
1800000000000000007,https://x.com/you/status/1800000000000000007,"I have been thinking a lot about the way we approach content creation these days and honestly I believe we are all overcomplicating something that should be simple, you write, you publish, you learn, you repeat.",2026-08-03 22:00 +0000,3500,17,0.49,1,1,14,1,0,1,280,0,0,0
1800000000000000008,https://x.com/you/status/1800000000000000008,"Just finished a long debugging session and wanted to share some thoughts about how the error came from a missing environment variable and how long it took me to notice.",2026-08-03 21:00 +0000,3000,14,0.47,1,1,11,1,0,1,240,0,0,0
1800000000000000009,https://x.com/you/status/1800000000000000009,"hello everyone hope you are all having a great weekend, just checking in and thinking about what to build next, nothing concrete yet.",2026-08-09 23:00 +0000,2500,11,0.44,1,0,9,1,0,1,200,0,0,0
1800000000000000010,https://x.com/you/status/1800000000000000010,"Some updates on the project are coming soon but nothing concrete to announce yet, stay tuned for more details in the coming weeks when things settle down.",2026-08-10 22:30 +0000,2800,13,0.46,1,1,10,1,0,1,224,0,0,0
1800000000000000011,https://x.com/you/status/1800000000000000011,"I am not sure if this is useful but I wanted to write down a few notes about my process even though it is still a work in progress and might change.",2026-08-09 22:00 +0000,2600,12,0.46,1,1,9,1,0,1,208,0,0,0
1800000000000000012,https://x.com/you/status/1800000000000000012,"Long post about nothing in particular, no question asked, no number given, just some stream of consciousness that goes on and on for a while.",2026-08-10 23:00 +0000,2200,10,0.45,1,0,8,1,0,1,176,0,0,0
1800000000000000013,https://x.com/you/status/1800000000000000013,"Shipped a small fix to the landing page today. Small wins count.",2026-08-04 10:00 +0000,4000,160,4.0,13,8,136,3,2,2,320,0,0,0
1800000000000000014,https://x.com/you/status/1800000000000000014,"Reading more and posting less this week. Quality over volume.",2026-08-07 12:00 +0000,3800,133,3.5,11,7,113,3,1,2,304,0,0,0
1800000000000000015,https://x.com/you/status/1800000000000000015,"The newsletter went out this morning. Next one is Friday.",2026-08-11 08:00 +0000,4500,203,4.5,16,10,173,4,2,3,360,0,0,0
1800000000000000016,https://x.com/you/status/1800000000000000016,"Coffee, a blank doc, and a deadline. Let's see what happens.",2026-08-08 15:00 +0000,3600,126,3.5,10,6,107,3,1,2,288,0,0,0
1800000000000000017,https://x.com/you/status/1800000000000000017,"New favicon is live. It only took three tries.",2026-08-14 11:00 +0000,4200,189,4.5,15,9,161,4,2,3,336,0,0,0
1800000000000000018,https://x.com/you/status/1800000000000000018,"Weekend plan: fix the onboarding flow and write one good post.",2026-08-08 16:00 +0000,3900,137,3.5,11,7,116,3,1,2,312,0,0,0
1800000000000000019,https://x.com/you/status/1800000000000000019,"Reminder that done ships faster than perfect. #buildinpublic",2026-08-05 18:00 +0000,5000,250,5.0,20,13,213,5,3,3,400,0,0,0
1800000000000000020,https://x.com/you/status/1800000000000000020,"Deployed the API rate limiter. No more 429s, hopefully.",2026-08-06 17:00 +0000,3700,148,4.0,12,7,126,3,1,2,296,0,0,0
1800000000000000021,https://x.com/you/status/1800000000000000021,"Some days you build, some days you debug. Today was a debug day.",2026-08-07 14:00 +0000,4100,164,4.0,13,8,139,3,1,2,328,0,0,0
1800000000000000022,https://x.com/you/status/1800000000000000022,"Reading the docs is faster than guessing. Every time.",2026-08-04 13:00 +0000,4600,207,4.5,17,10,176,4,2,3,368,0,0,0
1800000000000000023,https://x.com/you/status/1800000000000000023,"Small launch tomorrow. One post, one link, one clear ask.",2026-08-11 12:00 +0000,3400,119,3.5,10,6,101,3,1,2,272,0,0,0
1800000000000000024,https://x.com/you/status/1800000000000000024,"Shipped the export button. It feels like a real product now.",2026-08-13 16:00 +0000,4300,194,4.5,16,10,165,4,2,3,344,0,0,0
